,id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l
33,19298,True,h,2023-05-14 14:15:00,w,207,Elche,ELC,143,Atletico Madrid,ATL,1,0,2.28487,1.44785,0.563660344038232,0.1983107617310974,0.23802887228430786
34,19306,True,a,2023-05-20 16:30:00,d,142,Getafe,GET,207,Elche,ELC,1,1,1.58846,1.34186,0.4325545037693337,0.24423364511546128,0.323211850918028
35,19314,True,h,2023-05-24 17:30:00,d,207,Elche,ELC,138,Sevilla,SEV,1,1,1.35854,0.889054,0.47723415491497767,0.2773757077043201,0.2453901373593687
36,19322,True,a,2023-05-28 17:00:00,w,147,Athletic Club,ATH,207,Elche,ELC,0,1,2.91389,0.769369,0.8082849955626811,0.12216879702443703,0.06954573836241527
37,19336,True,h,2023-06-04 18:00:00,d,207,Elche,ELC,261,Cadiz,CAD,1,1,1.534,2.22255,0.2639617501409513,0.20294266431059232,0.5330955701137466
0,18971,True,a,2022-08-15 19:30:00,l,153,Real Betis,BET,207,Elche,ELC,3,0,3.99664,0.29379,0.9569712463152733,0.035169123323650214,0.00783988733250932
1,18980,True,h,2022-08-22 18:00:00,d,207,Elche,ELC,208,Almeria,ALM,1,1,0.899007,0.969747,0.3203736358126111,0.3211724359675683,0.3584539282195593
2,18984,True,h,2022-08-27 15:30:00,l,207,Elche,ELC,140,Real Sociedad,SOC,0,1,1.23504,1.81171,0.26048864789134824,0.2303442135538981,0.5091671375023904
3,18997,True,a,2022-09-04 16:30:00,l,154,Villarreal,VIL,207,Elche,ELC,4,0,3.5829,0.21919,0.9485562152682939,0.043613632681080775,0.007824540234449194
4,19009,True,h,2022-09-11 14:15:00,l,207,Elche,ELC,147,Athletic Club,ATH,1,4,0.748083,3.2386,0.052679029721422355,0.0993246158699855,0.8479946599630841
5,19013,True,a,2022-09-17 14:15:00,l,148,Barcelona,BAR,207,Elche,ELC,3,0,5.17903,0.0129931,0.9936579403442977,0.005941279509047282,7.519177078040858e-05
6,19029,True,a,2022-10-03 19:00:00,l,145,Rayo Vallecano,RVL,207,Elche,ELC,2,1,0.651238,0.924633,0.24591872187508437,0.35142091444595397,0.4026603636788617
7,19034,True,h,2022-10-10 19:00:00,d,207,Elche,ELC,239,Mallorca,MAL,1,1,0.334856,2.69714,0.02864537383879882,0.10264618058267216,0.8687082657436963
8,19047,True,a,2022-10-15 14:15:00,d,146,Valencia,VAL,207,Elche,ELC,2,2,3.04132,1.30317,0.7229085163980719,0.14437111095620173,0.13271958043794296
9,19054,True,h,2022-10-19 19:00:00,l,207,Elche,ELC,150,Real Madrid,RMA,0,3,1.04972,1.6151,0.24662932691294123,0.2481477477989793,0.5052229250631176
10,19067,True,a,2022-10-23 12:00:00,d,141,Espanyol,ESP,207,Elche,ELC,2,2,2.18547,0.318561,0.8086304004319754,0.14938022206621362,0.04198936517918351
11,19073,True,h,2022-10-31 20:00:00,l,207,Elche,ELC,142,Getafe,GET,0,1,1.22713,0.372744,0.5823265677586926,0.30539604698448225,0.11227738525159657
12,19088,True,a,2022-11-05 15:15:00,l,231,Real Valladolid,VAL,207,Elche,ELC,2,1,2.81292,0.198499,0.9052065919592432,0.08078829878132879,0.014004805806102645
13,19093,True,h,2022-11-08 18:00:00,l,207,Elche,ELC,223,Girona,GIR,1,2,0.914455,2.20883,0.14286974494830762,0.18925898181942757,0.6678712590892377
14,19102,True,a,2022-12-29 20:30:00,l,143,Atletico Madrid,ATL,207,Elche,ELC,2,0,1.74436,0.568911,0.659957559284574,0.22433922773476414,0.11570321234935856
15,19118,True,h,2023-01-06 17:30:00,l,207,Elche,ELC,152,Celta Vigo,CEL,0,1,1.14494,1.9713,0.2173292808755755,0.21715504835914767,0.5655156675623162
16,19123,True,a,2023-01-16 20:00:00,d,261,Cadiz,CAD,207,Elche,ELC,1,1,1.40204,0.654686,0.5507880657507614,0.27508964549924264,0.17412228871721538
17,19135,True,h,2023-01-22 15:15:00,d,207,Elche,ELC,157,Osasuna,OSA,1,1,2.36237,0.607835,0.7663262199027817,0.15600554327214228,0.0776682032203757
18,19149,True,a,2023-01-28 17:30:00,l,138,Sevilla,SEV,207,Elche,ELC,3,0,3.27297,0.340633,0.9156737410589254,0.0664947460640354,0.017829589773589376
19,19156,True,h,2023-02-04 15:15:00,w,207,Elche,ELC,154,Villarreal,VIL,3,1,2.88986,1.48923,0.6638062204966535,0.16121945728001758,0.17497389856706178
20,19169,True,a,2023-02-15 20:00:00,l,150,Real Madrid,RMA,207,Elche,ELC,4,0,4.04364,0.619125,0.9256866760662267,0.05269411372485223,0.02159667879336369
21,19174,True,h,2023-02-19 13:00:00,l,207,Elche,ELC,141,Espanyol,ESP,0,1,1.60154,1.35887,0.432115320291903,0.24288977452935936,0.32499490495716293
22,19190,True,h,2023-02-24 20:00:00,l,207,Elche,ELC,153,Real Betis,BET,2,3,0.883935,4.05176,0.03734692790048039,0.06750986740009038,0.8951201578457035
23,19199,True,a,2023-03-04 17:30:00,w,239,Mallorca,MAL,207,Elche,ELC,0,1,0.96231,0.957134,0.34323736296192375,0.3162822711212189,0.340480365916521
24,19204,True,h,2023-03-11 15:15:00,d,207,Elche,ELC,231,Real Valladolid,VAL,1,1,2.80287,0.246865,0.8955343651174243,0.08627452847044607,0.01819081613112465
25,19220,True,a,2023-03-19 15:15:00,l,140,Real Sociedad,SOC,207,Elche,ELC,2,0,2.69405,0.0819691,0.9172594455418664,0.07681874881294172,0.005921628369155769
26,19227,True,h,2023-04-01 19:00:00,l,207,Elche,ELC,148,Barcelona,BAR,0,4,0.508304,1.61804,0.11293738757533059,0.239480177118562,0.6475824350761643
27,19239,True,a,2023-04-08 12:00:00,l,157,Osasuna,OSA,207,Elche,ELC,2,1,1.68972,0.657812,0.6232356762768727,0.2353124948176833,0.14145182849333524
28,19248,True,a,2023-04-16 12:00:00,l,223,Girona,GIR,207,Elche,ELC,2,0,1.22906,0.577847,0.522292320060386,0.3031584328062794,0.17454924712799036
29,19252,True,h,2023-04-23 12:00:00,l,207,Elche,ELC,146,Valencia,VAL,0,2,0.795158,1.05313,0.2706131208220174,0.3197243992678308,0.40966247990952004
30,19265,True,a,2023-04-26 20:00:00,l,152,Celta Vigo,CEL,207,Elche,ELC,1,0,1.4351,1.48138,0.36625430885254195,0.24687967428911775,0.3868660167437389
31,19273,True,h,2023-04-29 14:15:00,w,207,Elche,ELC,145,Rayo Vallecano,RVL,4,0,3.37969,0.565048,0.8898705358994364,0.0781959418771332,0.03193070250930196
32,19288,True,a,2023-05-02 17:30:00,l,208,Almeria,ALM,207,Elche,ELC,2,1,1.82539,1.01416,0.5638891537741205,0.22832624345744496,0.20778460161122117
33,19298,True,h,2023-05-14 14:15:00,w,207,Elche,ELC,143,Atletico Madrid,ATL,1,0,2.28487,1.44785,0.563660344038232,0.1983107617310974,0.23802887228430786
34,19306,True,a,2023-05-20 16:30:00,d,142,Getafe,GET,207,Elche,ELC,1,1,1.58846,1.34186,0.4325545037693337,0.24423364511546128,0.323211850918028
35,19314,True,h,2023-05-24 17:30:00,d,207,Elche,ELC,138,Sevilla,SEV,1,1,1.35854,0.889054,0.47723415491497767,0.2773757077043201,0.2453901373593687
36,19322,True,a,2023-05-28 17:00:00,w,147,Athletic Club,ATH,207,Elche,ELC,0,1,2.91389,0.769369,0.8082849955626811,0.12216879702443703,0.06954573836241527
37,19336,True,h,2023-06-04 18:00:00,d,207,Elche,ELC,261,Cadiz,CAD,1,1,1.534,2.22255,0.2639617501409513,0.20294266431059232,0.5330955701137466
0,18971,True,a,2022-08-15 19:30:00,l,153,Real Betis,BET,207,Elche,ELC,3,0,3.99664,0.29379,0.9569712463152733,0.035169123323650214,0.00783988733250932
1,18980,True,h,2022-08-22 18:00:00,d,207,Elche,ELC,208,Almeria,ALM,1,1,0.899007,0.969747,0.3203736358126111,0.3211724359675683,0.3584539282195593
